Year,Service,Linked Certifications/Skills
Year 3,Cloud/Mobile Recovery,"Cellebrite CCO, SEC487/Micah Hoffman OSINT"
Year 4,Advanced Chat Recovery,"Cellebrite CCPA, MCFE"
Year 4,OSINT Verification,Bellingcat Workshop
Year 5,Vehicle Forensics,Berla iVe Level 1
Year 5,Litigation Support,"ISO 27037/27041, CHFI"
Year 5,OSINT Investigations,TapRooT RCA
Year 6,Drone Mapping,"CAA A2 CofC/GVC, Pix4D"
Year 6,Corporate Breach Analysis,"CREST CROP, ICOR RCAP RCA"
Year 7+,Aviation Forensics,Aviation Forensics Specialist
Year 7+,Advanced Vehicle Telematics,Berla iVe Advanced
Year 8+,Crisis Intelligence Consulting,"GCTI, DF Lab Management"
